school,location.elevation,location.city,location.state
Holy Cross,137.3915253,Worcester,MA
Hope,,,
Houston,9.6,Houston,TX
Houston Baptist,,,
Howard,53.46718979,Washington,DC
Howard Payne,,,
Humboldt State,,,
Huntingdon,,,
Husson,,,
Hutchinson C.C.,,,
Hutchinson C.C.,,,
Idaho,794.4794922,Moscow,ID
Idaho State,1390.252441,Pocatello,ID
Illinois,294.958252,Lexington,VA
Illinois College,,,
Illinois State,242.8722687,Normal,IL
Illinois Wesleyan,,,
Incarnate Word,,,
Independence C.C.,,,
Independence C.C.,,,
Independence C.C.,,,
Indiana,231.6500854,Bloomington,IN
Indiana (PA),,,
Indianapolis,,,
Indiana State,155.5213165,Terre Haute,IN
Iowa,220.6357727,Iowa City,IA
Iowa Central C.C.,,,
Iowa State,274.9135437,Ames,IA
Iowa Wesleyan,,,
Ithaca,,,
Jackson State,108.4067383,Jackson,MS
Jacksonville,,,
Jacksonville State,198.0679016,Jacksonville,AL
James Madison,,,
Jamestown,,,
John Carroll,,,
Johns Hopkins,,,
Johnson C Smith,,,
Juniata,,,
Kalamazoo,,,
Kansas,274.855957,Lawrence,KS
Kansas State,328.0574646,Manhattan,KS
Kansas Wesleyan University,,,
Kennesaw State,296.9589844,Kennesaw,GA
Kent State,321.3641663,Kent,OH
Kentucky,307.4248962,Lexington,KY
Kentucky State,,,
Kentucky Wesleyan,,,
Kenyon,,,
Kilgore J.C.,,,
King's College (PA),,,
Kutztown,,,
Lafayette,81.43208313,Easton,PA
LaGrange College,,,
Lake Erie College,,,
Lake Forest,,,
Lamar,,,
Lambuth,,,
Langston,,,
La Verne,,,
Lawrence,,,
Lebanon Valley,,,
Lehigh,,,
Lenoir-Rhyne,,,
Lewis & Clark,,,
Liberty,272.9237061,Lynchburg,VA
Limestone,,,
Lincoln (MO),,,
Lincoln (PA),,,
Lindenwood,,,
Lindenwood Belleville,,,
Lindenwood University,,,
Lindsey Wilson,,,
Linfield,,,
LIU Post,,,
Livingstone,,,
Lock Haven,,,
Long Island University,236,Brookville,NY
Louisiana,3.556508303,Lafayette,LA
Louisiana College,,,
Louisiana Monroe,22.998209,Monroe,LA
Louisiana Tech,72.87982941,Ruston,LA
Louisville,138.5615997,Louisville,KY
LSU,7.640734673,Baton Rouge,LA
Luther,,,
Lycoming,,,
Macalester,,,
MacMurray College,,,
Maine,35.4817543,Orono,ME
Maine Maritime,,,
Malone,,,
Manchester,,,
Manitoba,,,
Mansfield,,,
Maranatha Baptist College,,,
Marian,,,
Marietta,,,
Marist,,,
Marshall,163.7328186,Huntington,WV
Mars Hill,,,
Martin Luther College,,,
Mary Hardin-Baylor,,,
Maryland,32.68748093,College Park,MD
Maryville TN,,,
Mass Maritime,,,
Mayville State,,,
McDaniel College,,,
McMurry,,,
McNeese,4.168509007,Lake Charles,LA
Memphis,90.62445831,Memphis,TN
Menlo,,,
Mercer,,,
Merchant Marine,,,
Mercyhurst,,,
Merrimack,,,
Methodist,,,
Miami,2.624486446,Miami Gardens,FL
Miami (OH),242.2643585,Oxford,OH
Michigan,255.5500031,Ann Arbor,MI
Michigan State,254.8794861,East Lansing,MI
Michigan Tech,,,
Middlebury,,,
Middle Tennessee,191.7279816,Murfreesboro,TN
Midland University,,,
Midwestern State,,,
Miles,,,
Millersville,,,
Millikin,,,
Millsaps,,,
Minnesota,254.3902283,Minneapolis,MN
Minnesota-Crookston,,,
Minnesota-Duluth,,,
Minnesota-Morris,,,
Minnesota State,,,
Minnesota St-Moorhead,,,
Minot State,,,
